#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
36,81.13,100,2009A&A...505..139C,B,2MASS J19534827+1848021,RG*,19 53 48.274 +18 48 02.17,~,14.080,12.346,~,~,~,33,0,298.451141666,18.8006027777
37,372.02,100,2011AJ....142..126S,B,2MASS J19532580+1850334,RG*,19 53 25.805 +18 50 33.44,~,~,~,~,~,~,2,0,298.357520833,18.8426222222
38,140.65,92,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1210,*iC,19 53 53.8 +18 48 20,~,19.33,18.50,~,~,~,1,0,298.474166666,18.8055555555
39,57.21,50,2010A&A...513A..16H,S,[HBE2010] s03c,?,19 53 43.61 +18 47 25.1,~,~,~,~,22.81,~,1,0,298.431708333,18.7903055555
40,99.68,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 11860,*iC,19 53 49.8 +18 48 13,~,~,~,~,~,~,1,0,298.4575,18.8036111111
41,84.31,100,2009A&A...505..117C,B,2MASS J19534250+1845425,RG*,19 53 42.507 +18 45 42.58,~,15.968,14.904,~,~,~,1,0,298.427112499,18.7618277777
42,89.86,80,2010A&A...513A..16H,S,[HBE2010] s15,X,19 53 47.90 +18 45 17.5,~,~,~,~,19.98,~,1,0,298.449583333,18.7548611111
43,31.62,100,2013AJ....146..133M,B,Cl* NGC 6838 ASC 452,*iC,19 53 47.509 +18 46 16.99,~,14.51,13.02,~,~,~,35,0,298.447954166,18.7713861111
44,40.32,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1144,*iC,19 53 46.9 +18 47 25,~,~,~,~,~,~,1,0,298.445416666,18.7902777777
45,91.11,95,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1936,*iC,19 53 40.1 +18 46 37,~,18.4,17.45,~,~,~,1,0,298.417083333,18.7769444444
46,53.87,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 4126,*iC,19 53 43.0 +18 46 24,~,~,~,~,~,~,1,0,298.429166666,18.7733333333
47,150.06,100,2008ApJ...682.1217K,B,[KGS2008] J195341.7+184431,RG*,19 53 41.72 +18 44 31.2,~,17.40,16.76,~,16.01,~,4,0,298.423833333,18.742
48,62.38,96,2008A&A...486..941A,B,2MASS J19534373+1847336,RG*,19 53 43.732 +18 47 33.65,~,13.95,12.76,17.000,11.51,G...,25,0,298.432216666,18.7926805555
49,50.27,95,2008A&A...486..941A,B,2MASS J19534986+1847003,HB*,19 53 49.862 +18 47 00.39,~,15.5,14.45,~,~,~,16,0,298.457758333,18.7834416666
50,168.76,93,2008A&A...486..941A,B,[KGS2008] J195335.2+184557,RG*,19 53 35.1 +18 45 57,~,15.02,14.05,~,12.99,~,6,0,298.396249999,18.7658333333
51,154.14,100,2001A&A...373..159C,B,2MASS J19535064+1849075,RG*,19 53 50.641 +18 49 07.52,~,14.58,12.97,~,~,G...,34,0,298.461004166,18.8187555555
52,70.47,100,2009A&A...505..139C,B,2MASS J19534575+1847547,RG*,19 53 45.757 +18 47 54.80,~,14.255,12.482,~,~,~,24,0,298.440654166,18.7985555555
53,154.14,100,2013AJ....146..133M,B,2MASS J19535064+1849075,RG*,19 53 50.641 +18 49 07.52,~,14.58,12.97,~,~,G...,34,0,298.461004166,18.8187555555
54,77.44,8,2008A&A...486..941A,B,Cl* NGC 6838 KC 343,*iC,19 53 44.0 +18 47 54,~,16.96,16.33,~,~,~,2,0,298.433333333,18.7983333333
