thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag,RA,Dec,FluxErr,InnerRad,OuterRad,Gain,ReadNoise,Filter

75.3668441772461,59,53,803,817,0,4,810.0472525248766,1.3659658765382803,10.02636555240111,1.390871983060685,0.5699691333068841,3.1723527908325195,1.1633635759353638,0.06562365591526031,0.10211587697267532,0.7361217737197876,-0.08369267731904984,10855.2158203125,16182.717066258347,382.59912109375,534.34619140625,810,1,811,0,2,298.35401198894226,18.65031791695538,812.3979037025255,20.0,30.0,1.5,30,R

75.3668441772461,40,39,2094,2102,0,4,2097.893676923033,1.6329021583164078,4.899941097192389,1.526540586900786,0.4552122344299043,2.227170467376709,1.210864543914795,0.1318015307188034,0.2098989337682724,0.6737406253814697,-0.1251831352710724,5635.39990234375,9229.691231720371,240.36654663085938,295.8831787109375,2098,1,2096,0,2,298.5641571688996,18.63877482238225,818.5829695484719,20.0,30.0,1.5,30,R

75.3668441772461,64,62,1921,1934,0,5,1927.5816543697238,1.5420791817161033,8.510860917568927,1.7525616585194737,0.4030573613067574,2.921440362930298,1.3147655725479126,0.05935843288898468,0.11879073083400726,0.5768763422966003,-0.05463942512869835,13006.4501953125,6687.983311381384,488.27935791015625,686.424072265625,1928,1,1928,0,2,298.5363721513618,18.640302140253088,821.9451783354076,20.0,30.0,1.5,30,R

75.3668441772461,23,19,1084,1089,1,6,1086.6670524705082,3.6724066707755467,2.1442163871202267,1.922311598811553,1.1090588879323313,1.7742207050323486,0.9584721922874451,0.7355430722236633,0.6647363901138306,0.7414712309837341,-0.7670263648033142,2196.280029296875,6624.272902987597,120.71013641357422,164.758544921875,1086,3,1085,3,0,298.39918022641615,18.648199893438534,882.8863170123782,20.0,30.0,1.5,30,R

75.3668441772461,146,134,2365,2380,0,10,2372.5919735226594,3.5282936084908028,9.068158867531515,5.645750140916785,0.6321069767382674,3.0300452709198,2.3521764278411865,0.1769229620695114,0.11114338040351868,0.17851760983467102,-0.02488757111132145,53921.29296875,59350.66897362267,1186.1597900390625,1283.2435302734375,2372,2,2372,2,2,298.60898482770773,18.636575665583678,899.8219568759155,20.0,30.0,1.5,30,R

75.3668441772461,235,223,123,148,0,11,136.87953475248096,2.47894448376486,23.80753356804715,5.500282708692903,2.9276096886334884,4.925881385803223,2.2457759380340576,0.15477465093135834,0.04494529962539673,0.19454212486743927,-0.04784564673900604,119245.1328125,135048.249543685,2539.84521484375,3393.6611328125,137,1,137,0,2,298.24413654581934,18.656479966232027,895.2822746787739,20.0,30.0,1.5,30,R

75.3668441772461,50,50,1526,1533,6,13,1529.394272569861,9.380455737188909,3.8577115309972285,3.283002100852915,0.9122392044474008,2.127624034881592,1.6167651414871216,0.6328180432319641,0.2774517834186554,0.32602137327194214,-0.1541896015405655,6365.5625,12033.85237798618,191.76251220703125,237.27188110351562,1529,9,1530,8,0,298.4714809007802,18.645105973420733,1035.6129230390939,20.0,30.0,1.5,30,R

75.3668441772461,279,271,1446,1468,0,14,1456.9668874348413,4.314199896957553,12.654143241830084,7.92140288586813,2.4373730135364013,3.6993112564086914,2.6250033378601074,0.400088906288147,0.08400412648916245,0.13419343531131744,-0.05169523507356644,273905.9375,286833.2067450887,5103.54052734375,5513.90771484375,1456,3,1456,3,2,298.45961415150504,18.644974829243257,1001.2524981862794,20.0,30.0,1.5,30,R

